transaccion_id,cliente_id,producto_id,fecha,monto,tipo_transaccion
T00207,C0164,P003,2025-03-11,516.08,abono
T00208,C0006,P002,2025-02-23,-2200.55,debito
T00209,C0066,P001,2025-01-29,-6857.19,debito
T00210,C0111,P001,2025-01-05,-1252.05,debito
T00211,C0147,P003,2025-04-08,-149.61,debito
T00212,C0158,P005,2025-03-16,-5350.65,debito
T00213,C0063,P001,2025-01-13,4044.22,abono
T00214,C0122,P002,2025-04-22,-2443.74,debito
T00215,C0112,P003,2024-12-09,-3268.78,debito
T00216,C0200,P002,2025-04-17,3266.38,abono
T00217,C0172,P001,2025-04-10,-364.97,debito
T00218,C0047,P003,2025-04-29,4748.27,abono
T00219,C0105,P002,2025-02-10,4439.07,abono
T00220,C0107,P002,2025-04-02,1341.42,abono
T00221,C0119,P005,2025-05-01,-136.67,debito
T00222,C0163,P003,2025-05-30,4670.51,abono
T00223,C0058,P001,2025-03-02,-3522.25,debito
T00224,C0057,P001,2024-12-08,-3789.46,debito
T00225,C0187,P005,2025-03-03,-4797.23,debito
T00226,C0151,P004,2025-03-20,-4322.48,debito
T00227,C0085,P005,2025-05-10,4722.26,abono
T00228,C0143,P001,2025-05-10,4724.05,abono
T00229,C0082,P003,2025-02-20,-6074.38,debito
T00230,C0039,P004,2025-03-08,-4465.73,debito
T00231,C0128,P002,2025-02-23,-5612.62,debito
T00232,C0044,P004,2025-04-13,3401.98,abono
T00233,C0009,P005,2025-02-15,-4026.37,debito
T00234,C0162,P004,2025-03-31,-925.65,debito
T00235,C0089,P001,2024-12-30,4065.46,abono
T00236,C0136,P003,2025-02-25,4112.17,abono
T00237,C0193,P003,2025-05-28,-4392.8,debito
T00238,C0120,P001,2025-02-01,4111.11,abono
T00239,C0150,P002,2025-04-07,-4570.85,debito
T00240,C0145,P004,2025-03-30,1073.09,abono
T00241,C0196,P001,2025-05-06,-1939.51,debito
T00242,C0073,P005,2025-05-06,-1525.69,debito
T00243,C0061,P004,2025-05-08,-2659.5,debito
T00244,C0034,P004,2025-02-09,-301.57,debito
T00245,C0032,P001,2025-01-28,3110.36,abono
T00246,C0055,P001,2025-04-12,-2375.78,debito
T00247,C0046,P002,2025-04-19,-4600.39,debito
T00248,C0189,P004,2025-05-10,-2716.21,debito
T00249,C0091,P002,2024-12-08,3423.99,abono
T00250,C0154,P003,2024-12-14,1736.09,abono
T00251,C0093,P001,2025-03-27,-1847.04,debito
T00252,C0176,P003,2025-05-19,-3487.38,debito
T00253,C0137,P004,2025-06-02,3479.81,abono
T00254,C0104,P004,2025-04-17,-2457.91,debito
T00255,C0074,P004,2025-02-19,4686.41,abono
T00256,C0046,P004,2024-12-20,243.97,abono
T00257,C0137,P003,2025-03-27,-2943.08,debito
T00258,C0168,P002,2025-05-10,-6774.04,debito
T00259,C0026,P004,2025-02-21,-3849.36,debito
T00260,C0108,P004,2025-04-08,2146.18,abono
T00261,C0163,P001,2025-05-16,-3992.59,debito
T00262,C0036,P005,2024-12-10,-4044.19,debito
T00263,C0021,P005,2025-04-26,-5129.58,debito
T00264,C0105,P001,2025-01-24,682.06,abono
T00265,C0064,P002,2025-02-08,-1772.61,debito
T00266,C0121,P001,2024-12-28,-4076.39,debito
T00267,C0006,P005,2025-03-09,-6073.8,debito
T00268,C0168,P004,2025-03-15,-3946.21,debito
T00269,C0050,P002,2025-04-26,-1693.02,debito
T00270,C0186,P002,2025-01-02,3415.23,abono
T00271,C0183,P002,2024-12-16,3712.55,abono
T00272,C0076,P001,2025-05-10,-1690.51,debito
T00273,C0053,P005,2025-03-25,-2662.77,debito
T00274,C0063,P005,2025-01-15,2694.92,abono
T00275,C0062,P002,2025-05-18,-3491.03,debito
T00276,C0129,P001,2024-12-28,-2745.64,debito
T00277,C0085,P002,2025-02-24,1523.29,abono
T00278,C0185,P001,2025-01-17,544.93,abono
T00279,C0009,P004,2025-01-17,-402.79,debito
T00280,C0121,P004,2024-12-03,4794.78,abono
T00281,C0107,P003,2025-04-28,-5934.59,debito
T00282,C0138,P001,2025-05-15,-2503.69,debito
T00283,C0156,P005,2025-04-05,-6698.9,debito
T00284,C0113,P004,2024-12-30,-4747.09,debito
T00285,C0016,P003,2025-02-20,-3393.17,debito
T00286,C0186,P001,2025-02-03,2490.48,abono
T00287,C0184,P005,2025-03-19,-610.49,debito
T00288,C0113,P004,2025-03-28,-669.18,debito
T00289,C0027,P002,2025-02-17,-4229.01,debito
T00290,C0195,P005,2025-01-16,-3889.31,debito
T00291,C0029,P002,2025-05-05,1103.0,abono
T00292,C0169,P003,2025-01-07,4733.66,abono
T00293,C0063,P004,2025-02-10,3917.42,abono
T00294,C0025,P003,2025-02-28,-820.85,debito
T00295,C0019,P004,2025-01-14,-6518.58,debito
T00296,C0126,P002,2025-03-16,-6820.51,debito
T00297,C0088,P003,2025-03-17,-6971.64,debito
T00298,C0085,P004,2025-06-01,-419.42,debito
T00299,C0146,P003,2025-01-25,-5167.14,debito
T00300,C0195,P002,2025-05-29,2752.28,abono
T00301,C0074,P001,2025-04-01,3543.87,abono
T00302,C0095,P005,2025-01-21,4844.83,abono
T00303,C0075,P003,2025-03-15,-4825.57,debito
T00304,C0041,P005,2025-04-06,-5863.64,debito
T00305,C0122,P004,2025-04-17,-6072.07,debito
T00306,C0040,P002,2024-12-10,4200.48,abono
T00307,C0075,P004,2025-03-22,2159.15,abono
T00308,C0059,P001,2025-03-02,-1581.36,debito
T00309,C0150,P003,2025-05-16,2013.43,abono
T00310,C0004,P003,2025-01-23,4464.89,abono
T00311,C0131,P005,2025-04-27,775.69,abono
T00312,C0159,P002,2025-03-23,-3607.88,debito
T00313,C0165,P002,2025-02-04,-1655.6,debito
T00314,C0129,P003,2025-03-28,-4081.7,debito
T00315,C0097,P004,2025-03-25,-6046.08,debito
T00316,C0135,P004,2025-04-05,4407.78,abono
T00317,C0098,P001,2025-04-12,-1679.7,debito
T00318,C0017,P003,2025-04-01,4543.08,abono
T00319,C0053,P002,2025-05-04,2979.85,abono
T00320,C0156,P001,2025-03-26,-2471.02,debito
T00321,C0092,P004,2025-05-16,-4966.02,debito
T00322,C0164,P001,2025-03-30,-3387.22,debito
T00323,C0135,P002,2025-01-27,-2664.57,debito
T00324,C0094,P001,2025-02-20,3540.17,abono
T00325,C0026,P003,2025-03-18,-1763.61,debito
T00326,C0070,P005,2025-04-15,-2331.86,debito
T00327,C0190,P005,2024-12-18,-3058.13,debito
T00328,C0015,P004,2025-01-25,-1798.16,debito
T00329,C0064,P002,2025-04-17,2055.75,abono
T00330,C0190,P002,2025-01-03,-4013.17,debito
T00331,C0167,P002,2024-12-26,3717.82,abono
T00332,C0184,P004,2025-03-10,3847.61,abono
T00333,C0156,P003,2025-05-28,-5764.85,debito
T00334,C0024,P002,2025-03-09,-5217.16,debito
T00335,C0017,P002,2025-05-18,-4776.84,debito
T00336,C0016,P002,2025-05-02,1225.66,abono
T00337,C0150,P005,2025-01-18,-2819.55,debito
T00338,C0026,P005,2025-05-01,-3359.67,debito
T00339,C0014,P003,2025-02-28,-607.75,debito
T00340,C0019,P002,2025-04-28,-3712.74,debito
T00341,C0114,P001,2025-04-17,-3071.26,debito
T00342,C0026,P005,2025-02-01,-5620.7,debito
T00343,C0154,P004,2024-12-23,4890.61,abono
T00344,C0003,P005,2025-05-27,2802.22,abono
T00345,C0029,P004,2024-12-27,-2279.12,debito
T00346,C0050,P005,2025-05-27,-332.5,debito
T00347,C0158,P004,2025-05-08,-6474.76,debito
T00348,C0065,P004,2025-04-13,-6436.24,debito
T00349,C0127,P002,2025-05-30,1302.3,abono
T00350,C0124,P005,2025-05-28,3492.29,abono
T00351,C0166,P003,2025-04-28,423.4,abono
T00352,C0137,P002,2025-02-06,872.77,abono
T00353,C0174,P005,2025-04-25,-1541.16,debito
T00354,C0161,P004,2024-12-04,1507.75,abono
T00355,C0194,P002,2025-03-10,-6970.94,debito
T00356,C0082,P005,2025-02-23,-4887.57,debito
T00357,C0042,P002,2025-04-04,1951.8,abono
T00358,C0111,P003,2025-04-04,3698.65,abono
T00359,C0114,P003,2025-03-18,-6409.32,debito
T00360,C0138,P002,2025-05-01,4795.58,abono
T00361,C0028,P002,2025-05-23,336.43,abono
T00362,C0129,P003,2024-12-21,2002.88,abono
T00363,C0136,P004,2025-01-13,578.44,abono
T00364,C0077,P005,2024-12-06,1711.52,abono
T00365,C0173,P002,2025-05-12,889.92,abono
T00366,C0050,P004,2025-03-14,-4538.53,debito
T00367,C0041,P005,2025-05-18,-2736.23,debito
T00368,C0084,P005,2025-01-11,-1628.88,debito
T00369,C0168,P005,2024-12-13,-1883.59,debito
T00370,C0200,P003,2025-05-01,1833.71,abono
T00371,C0068,P004,2025-05-17,-1841.85,debito
T00372,C0078,P003,2025-01-26,2293.54,abono
T00373,C0086,P003,2025-02-14,-255.24,debito
T00374,C0081,P004,2024-12-27,1434.83,abono
T00375,C0145,P004,2025-05-24,-2896.11,debito
T00376,C0002,P004,2025-01-26,3033.77,abono
T00377,C0105,P003,2025-03-02,-1918.57,debito
T00378,C0036,P004,2024-12-19,-958.3,debito
T00379,C0005,P002,2025-05-13,427.19,abono
T00380,C0184,P003,2024-12-26,4705.63,abono
T00381,C0096,P001,2025-02-23,2112.36,abono
T00382,C0098,P003,2025-04-03,-4080.7,debito
T00383,C0190,P002,2025-04-16,-6436.66,debito
T00384,C0159,P005,2025-05-24,459.6,abono
T00385,C0071,P001,2025-02-16,4389.47,abono
T00386,C0042,P003,2025-04-16,-3874.57,debito
T00387,C0185,P005,2024-12-30,-1178.89,debito
T00388,C0012,P004,2025-02-15,-2896.45,debito
T00389,C0181,P004,2024-12-20,3899.13,abono
T00390,C0156,P005,2025-03-01,2427.83,abono
T00391,C0026,P001,2025-02-14,-6897.44,debito
T00392,C0071,P005,2025-05-25,1914.86,abono
T00393,C0073,P001,2024-12-07,-5254.56,debito
T00394,C0192,P001,2025-02-07,1995.3,abono
T00395,C0199,P004,2025-02-21,-5809.27,debito
T00396,C0039,P005,2025-05-24,2866.95,abono
T00397,C0052,P005,2025-05-07,364.38,abono
T00398,C0063,P003,2024-12-20,-286.65,debito
T00399,C0196,P003,2025-04-06,-962.95,debito
T00400,C0075,P001,2025-03-11,117.68,abono
T00401,C0198,P001,2025-05-29,-555.25,debito
T00402,C0180,P003,2025-02-05,-4851.25,debito
T00403,C0093,P004,2025-02-12,-3754.39,debito
T00404,C0055,P002,2025-01-05,3762.06,abono
T00405,C0059,P004,2024-12-24,4570.17,abono
T00406,C0051,P003,2025-05-06,2946.49,abono
T00407,C0192,P001,2025-02-23,3644.3,abono
T00408,C0165,P004,2025-04-02,3797.55,abono
T00409,C0125,P001,2025-03-29,-2663.62,debito
T00410,C0016,P005,2025-03-21,1243.37,abono
T00411,C0145,P004,2024-12-05,-1459.17,debito
T00412,C0130,P003,2025-04-24,-1782.55,debito
T00413,C0126,P003,2025-01-15,-1944.88,debito
T00414,C0163,P001,2024-12-25,-1474.38,debito
T00415,C0145,P001,2025-03-15,-6151.2,debito
T00416,C0200,P001,2024-12-14,-5306.28,debito
T00417,C0132,P001,2025-04-21,-356.87,debito
T00418,C0120,P005,2025-01-08,-1902.65,debito
T00419,C0049,P001,2025-01-10,-184.63,debito
T00420,C0111,P003,2025-05-10,-3502.21,debito
T00421,C0190,P002,2025-01-31,-3349.19,debito
T00422,C0019,P002,2024-12-29,-5824.66,debito
T00423,C0087,P004,2025-05-15,-2175.21,debito
T00424,C0178,P004,2024-12-02,-5720.21,debito
T00425,C0103,P005,2025-05-08,4841.47,abono
T00426,C0160,P004,2024-12-28,487.62,abono
T00427,C0058,P003,2024-12-25,3969.5,abono
T00428,C0067,P002,2025-01-16,-4141.99,debito
T00429,C0197,P003,2025-01-02,-3375.92,debito
T00430,C0168,P002,2025-04-01,-2961.13,debito
T00431,C0148,P003,2024-12-06,-5499.14,debito
T00432,C0184,P005,2024-12-04,3214.84,abono
T00433,C0198,P002,2025-04-25,4034.97,abono
T00434,C0047,P001,2025-01-14,4520.6,abono
T00435,C0155,P001,2025-01-30,-4332.33,debito
T00436,C0139,P003,2025-01-02,-6863.83,debito
T00437,C0084,P003,2024-12-11,-4268.37,debito
T00438,C0169,P002,2025-04-16,3201.39,abono
T00439,C0042,P004,2025-03-08,-3897.06,debito
T00440,C0060,P002,2025-04-17,-664.28,debito
T00441,C0007,P002,2025-02-27,-5092.99,debito
T00442,C0113,P001,2025-04-23,-3845.7,debito
T00443,C0097,P001,2025-03-05,2282.01,abono
T00444,C0191,P002,2024-12-21,4556.83,abono
T00445,C0115,P004,2025-03-04,1524.9,abono
T00446,C0053,P004,2025-05-24,-3679.51,debito
T00447,C0032,P001,2024-12-09,-4892.56,debito
T00448,C0130,P005,2025-04-24,-5581.41,debito
T00449,C0032,P002,2025-05-09,-3231.65,debito
T00450,C0031,P004,2025-03-07,-5899.38,debito
T00451,C0092,P003,2025-02-23,3856.14,abono
T00452,C0054,P001,2025-05-27,-491.66,debito
T00453,C0093,P004,2024-12-13,277.01,abono
T00454,C0029,P004,2025-02-27,3122.99,abono
T00455,C0098,P004,2025-02-13,1769.7,abono
T00456,C0026,P003,2025-04-06,1085.2,abono
T00457,C0080,P001,2025-03-01,2919.27,abono
T00458,C0167,P003,2025-05-17,1740.74,abono
T00459,C0180,P001,2024-12-15,-3774.73,debito
T00460,C0100,P004,2024-12-16,2327.59,abono
T00461,C0071,P003,2025-03-23,2944.59,abono
T00462,C0064,P002,2024-12-14,-2820.09,debito
T00463,C0033,P005,2025-01-21,3503.45,abono
T00464,C0178,P004,2025-03-27,-1285.07,debito
T00465,C0016,P005,2025-03-12,-4884.62,debito
T00466,C0190,P003,2025-01-30,2087.72,abono
T00467,C0107,P002,2025-06-02,4377.87,abono
T00468,C0045,P005,2025-03-09,-3621.2,debito
T00469,C0190,P002,2025-02-23,4866.9,abono
T00470,C0029,P002,2025-03-22,3029.58,abono
T00471,C0053,P003,2024-12-20,1158.05,abono
T00472,C0096,P003,2025-04-09,-5757.88,debito
T00473,C0008,P001,2025-05-07,1758.16,abono
T00474,C0121,P001,2025-03-31,-2452.91,debito
T00475,C0037,P004,2025-04-21,207.43,abono
T00476,C0097,P005,2025-04-12,-3854.55,debito
T00477,C0044,P002,2025-01-10,2695.4,abono
T00478,C0090,P002,2025-02-22,1812.16,abono
T00479,C0017,P001,2025-01-12,-6262.69,debito
T00480,C0119,P004,2025-02-02,-927.38,debito
T00481,C0138,P004,2025-02-22,1683.99,abono
T00482,C0155,P001,2025-02-16,1641.83,abono
T00483,C0121,P003,2024-12-19,506.84,abono
T00484,C0169,P005,2025-02-18,2431.67,abono
T00485,C0158,P001,2025-04-02,-4823.86,debito
T00486,C0192,P005,2025-02-08,2582.7,abono
T00487,C0057,P005,2024-12-29,827.04,abono
T00488,C0037,P002,2025-05-19,-2659.68,debito
T00489,C0191,P001,2024-12-14,-48.09,debito
T00490,C0073,P005,2025-05-03,4348.09,abono
T00491,C0058,P003,2024-12-19,468.36,abono
T00492,C0169,P003,2024-12-19,3006.53,abono
T00493,C0119,P005,2025-04-16,-6904.21,debito
T00494,C0148,P003,2025-04-29,-3770.04,debito
T00495,C0034,P003,2025-03-13,4624.01,abono
T00496,C0170,P002,2025-03-19,-1675.73,debito
T00497,C0009,P004,2025-03-14,-5326.89,debito
T00498,C0051,P002,2025-01-31,2679.77,abono
T00499,C0163,P001,2024-12-24,-5052.0,debito
T00500,C0061,P002,2025-02-04,358.59,abono
T00501,C0003,P005,2025-04-02,-1059.74,debito
T00502,C0089,P002,2025-04-18,-957.82,debito
T00503,C0148,P004,2025-05-09,-4819.54,debito
T00504,C0055,P004,2025-04-12,-5915.75,debito
T00505,C0140,P004,2025-05-28,3760.6,abono
T00506,C0072,P005,2025-03-21,-242.39,debito
T00507,C0087,P002,2025-02-04,4342.71,abono
T00508,C0125,P005,2025-03-17,-2498.4,debito
T00509,C0025,P003,2025-01-09,-2798.23,debito
T00510,C0068,P001,2025-04-01,-760.94,debito
T00511,C0110,P001,2025-01-12,-5169.71,debito
T00512,C0033,P001,2024-12-21,952.31,abono
T00513,C0118,P001,2025-05-05,2841.63,abono
T00514,C0183,P003,2025-02-07,4211.51,abono
T00515,C0089,P003,2025-04-20,-651.75,debito
T00516,C0142,P001,2025-03-17,-3761.29,debito
T00517,C0130,P002,2025-04-28,1204.42,abono
T00518,C0131,P002,2025-05-05,1747.49,abono
T00519,C0175,P002,2025-05-29,-3333.57,debito
T00520,C0051,P003,2025-04-30,-2505.08,debito
T00521,C0200,P002,2025-03-24,-4552.3,debito
T00522,C0136,P005,2025-03-29,2423.93,abono
T00523,C0137,P003,2024-12-06,-4101.87,debito
T00524,C0178,P005,2025-05-21,3697.27,abono
T00525,C0041,P001,2025-05-02,-3917.46,debito
T00526,C0163,P005,2025-01-19,2953.35,abono
T00527,C0193,P002,2025-01-04,-3964.28,debito
T00528,C0157,P004,2025-04-09,-2670.05,debito
